family	dist_name	r_concentration	n	direct_K	tia_K	look1_K	look2_K	tia_gain	look1_extra	look2_extra	mean_dk_active	max_dk	look2_T_ratio
sbm_strong	p1_100	top05	6	122.67	120.50	120.50	120.50	2.17	0.00	0.00	2.86	3.17	0.02
sbm_strong	p1_100	low20	6	122.67	122.33	122.33	122.33	0.33	0.00	0.00	1.00	1.00	0.02
sbm_strong	p1_100	low05	6	122.67	120.83	120.83	120.83	1.83	0.00	0.00	2.86	3.17	0.02
sbm_strong	p1_100	randtop20	6	122.67	122.67	122.67	122.67	0.00	0.00	0.00	1.00	1.00	0.02
sbm_strong	p1_100	randtop05	6	122.67	120.83	120.83	120.83	1.83	0.00	0.00	2.86	3.17	0.02
sbm_strong	p2_100	spread	6	122.67	122.67	122.67	122.67	0.00	0.00	0.00	1.00	1.00	0.02
sbm_strong	p2_100	random	6	122.67	122.67	122.67	122.67	0.00	0.00	0.00	1.14	3.00	0.02
sbm_strong	p2_100	top20	6	122.67	122.67	122.67	122.67	0.00	0.00	0.00	1.55	2.00	0.02
sbm_strong	p2_100	top05	6	122.67	122.67	43.00	43.00	0.00	79.67	0.00	5.71	6.00	0.14
sbm_strong	p2_100	low20	6	122.67	122.67	122.67	122.67	0.00	0.00	0.00	1.55	2.00	0.02
sbm_strong	p2_100	low05	6	122.67	122.67	42.17	42.17	0.00	80.50	0.00	5.71	6.00	0.14
sbm_strong	p2_100	randtop20	6	122.67	122.67	122.67	122.67	0.00	0.00	0.00	1.55	2.00	0.02
sbm_strong	p2_100	randtop05	6	122.67	122.67	43.00	43.00	0.00	79.67	0.00	5.71	6.00	0.14
sbm_strong	p3_100	spread	6	122.67	122.67	122.67	122.67	0.00	0.00	0.00	1.00	1.00	0.02
sbm_strong	p3_100	random	6	122.67	122.67	122.67	122.67	0.00	0.00	0.00	1.24	3.50	0.02
sbm_strong	p3_100	top20	6	122.67	122.67	122.67	122.67	0.00	0.00	0.00	2.26	3.00	0.02
sbm_strong	p3_100	top05	6	122.67	122.67	122.67	43.00	0.00	0.00	79.67	8.57	9.17	0.14
sbm_strong	p3_100	low20	6	122.67	122.67	122.67	122.67	0.00	0.00	0.00	2.26	3.00	0.02
sbm_strong	p3_100	low05	6	122.67	122.67	122.67	42.17	0.00	0.00	80.50	8.57	9.17	0.14
sbm_strong	p3_100	randtop20	6	122.67	122.67	122.67	122.67	0.00	0.00	0.00	2.26	3.00	0.02
